OMRÅDE;YDELSESART;TID;INDHOLD
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2001M11 2001M11;1860
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2001M12 2001M12;1845
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M01 2002M01;1785
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M02 2002M02;1846
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M03 2002M03;1844
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M04 2002M04;1874
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M05 2002M05;1843
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M06 2002M06;1782
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M07 2002M07;1760
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M08 2002M08;1788
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M09 2002M09;1762
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M10 2002M10;1760
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M11 2002M11;1847
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2002M12 2002M12;1742
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M01 2003M01;1809
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M02 2003M02;1881
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M03 2003M03;1901
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M04 2003M04;1880
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M05 2003M05;1859
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M06 2003M06;1768
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M07 2003M07;1816
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M08 2003M08;1725
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M09 2003M09;1745
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M10 2003M10;1870
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M11 2003M11;1799
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2003M12 2003M12;1835
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M01 2004M01;1678
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M02 2004M02;1767
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M03 2004M03;1833
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M04 2004M04;1803
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M05 2004M05;1708
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M06 2004M06;1805
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M07 2004M07;1726
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M08 2004M08;1635
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M09 2004M09;1774
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M10 2004M10;1724
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M11 2004M11;1728
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2004M12 2004M12;1701
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M01 2005M01;1579
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M02 2005M02;1607
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M03 2005M03;1719
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M04 2005M04;1680
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M05 2005M05;1667
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M06 2005M06;1700
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M07 2005M07;1661
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M08 2005M08;1607
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M09 2005M09;1695
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M10 2005M10;1700
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M11 2005M11;1680
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2005M12 2005M12;1757
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M01 2006M01;1561
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M02 2006M02;1660
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M03 2006M03;1664
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M04 2006M04;1572
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M05 2006M05;1670
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M06 2006M06;1641
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M07 2006M07;1609
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M08 2006M08;1549
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M09 2006M09;1641
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M10 2006M10;1607
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M11 2006M11;1587
169 Høje Taastrup;TOT Modtagere af kontanthjælp mv. i alt;2006M12 2006M12;1701
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M01 1994M01;1038
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M02 1994M02;1271
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M03 1994M03;1214
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M04 1994M04;1258
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M05 1994M05;1274
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M06 1994M06;1245
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M07 1994M07;1201
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M08 1994M08;1220
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M09 1994M09;1230
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M10 1994M10;1250
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M11 1994M11;1169
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1994M12 1994M12;1472
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M01 1995M01;1175
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M02 1995M02;1187
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M03 1995M03;1183
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M04 1995M04;1139
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M05 1995M05;1129
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M06 1995M06;1174
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M07 1995M07;1164
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M08 1995M08;1119
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M09 1995M09;1113
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M10 1995M10;1137
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M11 1995M11;1052
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1995M12 1995M12;1294
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M01 1996M01;1073
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M02 1996M02;1136
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M03 1996M03;1149
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M04 1996M04;1079
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M05 1996M05;1163
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M06 1996M06;1097
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M07 1996M07;1070
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M08 1996M08;1067
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M09 1996M09;1016
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M10 1996M10;1083
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M11 1996M11;1070
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1996M12 1996M12;1123
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M01 1997M01;1028
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M02 1997M02;1078
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M03 1997M03;1076
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M04 1997M04;1099
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M05 1997M05;1067
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M06 1997M06;1070
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M07 1997M07;977
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M08 1997M08;1019
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M09 1997M09;1019
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M10 1997M10;1009
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M11 1997M11;1047
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1997M12 1997M12;1091
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M01 1998M01;997
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M02 1998M02;1027
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M03 1998M03;1052
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M04 1998M04;1077
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M05 1998M05;962
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M06 1998M06;1090
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M07 1998M07;939
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M08 1998M08;978
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M09 1998M09;925
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M10 1998M10;935
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M11 1998M11;927
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1998M12 1998M12;1010
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M01 1999M01;1025
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M02 1999M02;970
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M03 1999M03;1002
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M04 1999M04;996
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M05 1999M05;979
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M06 1999M06;993
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M07 1999M07;948
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M08 1999M08;940
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M09 1999M09;944
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M10 1999M10;905
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M11 1999M11;945
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;1999M12 1999M12;983
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M01 2000M01;962
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M02 2000M02;967
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M03 2000M03;1046
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M04 2000M04;918
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M05 2000M05;928
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M06 2000M06;983
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M07 2000M07;913
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M08 2000M08;940
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M09 2000M09;954
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M10 2000M10;941
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M11 2000M11;974
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2000M12 2000M12;949
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M01 2001M01;973
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M02 2001M02;991
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M03 2001M03;1003
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M04 2001M04;974
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M05 2001M05;938
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M06 2001M06;937
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M07 2001M07;873
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M08 2001M08;917
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M09 2001M09;902
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M10 2001M10;877
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M11 2001M11;896
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2001M12 2001M12;902
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M01 2002M01;858
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M02 2002M02;845
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M03 2002M03;855
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M04 2002M04;888
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M05 2002M05;858
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M06 2002M06;872
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M07 2002M07;834
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M08 2002M08;876
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M09 2002M09;824
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M10 2002M10;839
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M11 2002M11;861
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2002M12 2002M12;853
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M01 2003M01;850
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M02 2003M02;871
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M03 2003M03;877
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M04 2003M04;904
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M05 2003M05;856
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M06 2003M06;850
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M07 2003M07;807
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M08 2003M08;839
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M09 2003M09;868
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M10 2003M10;899
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M11 2003M11;822
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2003M12 2003M12;897
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M01 2004M01;742
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M02 2004M02;821
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M03 2004M03;814
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M04 2004M04;815
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M05 2004M05;791
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M06 2004M06;868
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M07 2004M07;788
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M08 2004M08;763
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M09 2004M09;791
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M10 2004M10;810
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M11 2004M11;866
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2004M12 2004M12;864
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M01 2005M01;740
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M02 2005M02;802
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M03 2005M03;803
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M04 2005M04;798
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M05 2005M05;780
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M06 2005M06;819
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M07 2005M07;765
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M08 2005M08;712
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M09 2005M09;712
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M10 2005M10;712
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M11 2005M11;733
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2005M12 2005M12;766
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M01 2006M01;571
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M02 2006M02;683
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M03 2006M03;701
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M04 2006M04;638
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M05 2006M05;654
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M06 2006M06;689
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M07 2006M07;640
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M08 2006M08;613
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M09 2006M09;659
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M10 2006M10;621
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M11 2006M11;674
183 Ishøj;TOT Modtagere af kontanthjælp mv. i alt;2006M12 2006M12;630
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M01 1994M01;290
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M02 1994M02;277
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M03 1994M03;243
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M04 1994M04;261
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M05 1994M05;229
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M06 1994M06;258
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M07 1994M07;269
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M08 1994M08;232
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M09 1994M09;252
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M10 1994M10;255
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M11 1994M11;291
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1994M12 1994M12;249
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M01 1995M01;243
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M02 1995M02;241
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M03 1995M03;248
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M04 1995M04;228
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M05 1995M05;204
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M06 1995M06;202
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M07 1995M07;203
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M08 1995M08;174
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M09 1995M09;198
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M10 1995M10;216
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M11 1995M11;152
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1995M12 1995M12;224
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M01 1996M01;202
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M02 1996M02;198
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M03 1996M03;187
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M04 1996M04;200
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M05 1996M05;217
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M06 1996M06;188
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M07 1996M07;188
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M08 1996M08;158
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M09 1996M09;176
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M10 1996M10;212
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M11 1996M11;162
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1996M12 1996M12;206
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M01 1997M01;209
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M02 1997M02;185
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M03 1997M03;146
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M04 1997M04;204
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M05 1997M05;195
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M06 1997M06;169
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M07 1997M07;187
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M08 1997M08;164
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M09 1997M09;157
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M10 1997M10;179
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M11 1997M11;183
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1997M12 1997M12;179
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M01 1998M01;184
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M02 1998M02;138
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M03 1998M03;167
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M04 1998M04;140
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M05 1998M05;168
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M06 1998M06;217
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M07 1998M07;142
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M08 1998M08;194
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M09 1998M09;139
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M10 1998M10;132
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M11 1998M11;155
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1998M12 1998M12;143
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M01 1999M01;143
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M02 1999M02;130
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M03 1999M03;138
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M04 1999M04;139
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M05 1999M05;135
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M06 1999M06;122
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M07 1999M07;119
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M08 1999M08;121
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M09 1999M09;125
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M10 1999M10;126
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M11 1999M11;130
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;1999M12 1999M12;123
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M01 2000M01;135
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M02 2000M02;129
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M03 2000M03;141
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M04 2000M04;134
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M05 2000M05;128
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M06 2000M06;113
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M07 2000M07;117
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M08 2000M08;140
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M09 2000M09;125
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M10 2000M10;138
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M11 2000M11;124
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2000M12 2000M12;127
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2001M01 2001M01;134
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2001M02 2001M02;123
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2001M03 2001M03;145
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2001M04 2001M04;134
171 Ledøje-Smørum;TOT Modtagere af kontanthjælp mv. i alt;2001M05 2001M05;134
